"Street Number Name Direction","Address - City","Address - ZIP","ML_Number","Status","APN","Selling Date","Pending Date","Listing Date","DOM","Listing Price","Selling Price","Selling_Price_Per_Sqft","Year Built","Square Footage","Bedrooms","Bathrooms","Lot Size - Sq Ft","Parking Desc","Pool Type","Solar Owned/Leased Display","RESICONA","Property Subtype","Patio","Stories","Marketing Remarks","Street Full Address","Disclosures Desc","Inactive Date","Owned Solar Type Display","Primary_Picture_Url","Elementary School Desc","Jr High School Desc","Sr High School Desc","School District Desc","Association"
"5319 Silvergate St","Bakersfield","93313","202412482","S","49830508","01/09/25","12/23/24","12/19/24","4","350000.00","370,000","258.02","1995","1434","3","2","6098","2 Car Garage","NONE","None","0.00","SNGF","","1","Charming 3-bedroom, 2-bath home in the desirable Silver Creek neighborhood! Upon arrival the inviting tiled front porch welcomes you, perfect for year-round relaxation.  This home is just a short walk to Suburu School and the local park. The spacious great room features a cozy fireplace, while the kitchen offers bar-top seating and a seamless flow to the dining area with patio doors leading to a pergola-covered porch perfect for outdoor relaxation. The primary suite boasts double sinks in the bathroom, adding a touch of convenience and luxury. Additional highlights include a newer HVAC system and water heater. Enjoy the ease of nearby shopping and dining options, making this home an excellent choice for comfort and accessibility.","5319 Silvergate St, Bakersfield, CA 93313-4502","None of the Above","","","https://mediall.rapmls.com/bakersfield/listingpics/bigphoto/2024/12/19/031e4d9b-8712-482f-a00f-3499d9f46bed.jpg","Suburu, Donald","Lakeside","Independence","","MLS"
"5809 Willowcrest St","Bakersfield","93313","202412820","P","49803212","","01/31/25","12/21/24","41","369900.00","","","1989","1606","3","2","6098","2 Car Garage","NONE","PPA","0.00","SNGF","","1","Charming 3-bedroom, 2-bath home nestled in a highly desirable and convenient location! Enjoy the perfect blend of comfort and accessibility with spacious living areas, modern amenities, and a prime location that's close to everything you needshops, schools, parks, and major highways. Don't miss the opportunity to make this beautiful home your own!","5809 Willowcrest St, Bakersfield, CA 93313-4147","None of the Above","","","https://mediall.rapmls.com/bakersfield/listingpics/bigphoto/2025/01/27/05410206-4232-4a0f-a8a5-ef02a2d2d7ef.jpg","Suburu, Donald","Lakeside","Independence","","MLS"
"6817 High Peaks Dr","Bakersfield","93313","202402337","S","49864202","05/08/24","04/04/24","03/12/24","7","334999.00","336,000","244.54","2002","1374","3","2","6098","2 Car Garage","NONE","None","0.00","SNGF","CVRD,SLAB","1","This charming home offers a perfect blend of comfort, style, and functionality. With three bedrooms, two bathrooms, and a spacious family room, it's an ideal haven for families or individuals seeking a cozy retreat. The property boasts immaculate curb appeal and promises a delightful living experience.","6817 High Peaks Dr, Bakersfield, CA 93313-4968","Probate","","","https://mediall.rapmls.com/bakersfield/listingpics/bigphoto/2024/03/11/450a2061-50cd-4570-9e46-4f277fbe2eea.jpg","Suburu, Donald","General Shafter","Ridgeview","","MLS"
"5711 Greenhorn Mountain Ct","Bakersfield","93313","202412715","S","49828303","02/26/25","01/27/25","12/27/24","31","424900.00","424,900","","1996","","4","2","7405","2 Car Garage","NONE","Owned","6000.00","SNGF","CVRD","1","Beautiful 4-bd/2ba 1807 sqft home located in the desirable Silver Creek neighborhood, just moments from Suburu Elementary School, a local park, shopping & dining options. This home features fresh interior paint, including kitchen cabinets, giving it a modern touch. Enjoy the flexibility of a formal living & dining area, as well as a spacious great rm with a cozy fireplace, open to the kitchen. The kitchen offers plenty of cabinet space, Corian counters, a breakfast nook & bar-top seating. The primary bathroom suite boasts double sinks, a separate shower, and a luxurious walk-in Safe Step tub with massage jets. Additional features include a floored attic for added storage space, front RV parking, an approx. 6ft x 12ft attached storage unit, and a French drain system. Upgrades such as owned solar, a tankless water heater, and a whole-house fan provide excellent energy efficiency. The landscaped backyard offers  a covered patio, citrus trees, & a private pergola patio off the primary bd","5711 Greenhorn Mountain Ct, Bakersfield, CA 93313-4395","None of the Above","","Paid For","https://mediall.rapmls.com/bakersfield/listingpics/bigphoto/2024/12/24/6668a321-451d-4ef5-9449-15a18c872b24.jpg","Suburu, Donald","Lakeside","Independence","","MLS"
"7904 Moss Crossing Ave","Bakersfield","93313","202412832","S","49806106","01/31/25","01/09/25","01/07/25","2","379950.00","380,000","273.38","1989","1390","3","2","5227","2 Car Garage","NONE","None","1550.00","SNGF","","1","This updated Silvercreek home is move-in-ready! Showcasing a completely remodeled kitchen, with all new cabinets, appliances and quartz countertops! You'll love the updated baths with beautiful new shower in the primary bath and gorgeous new cabinets! This home has so much living space and in a flexible arrangement to perfectly fit your needs! Brand new flooring, including modern LVP, plus brand new paint, both inside and out! All new window coverings are the finishing touch! You will love having the laundry room indoors and an attached garage and private back yard. The location on this home is hard to beat- nearby you have so much shopping, so many restaurants, and the popular Silver Creek Park with its pool, basketball, and many other activities just around the corner. This home is a Winner! Book your appointment today.","7904 Moss Crossing Ave, Bakersfield, CA 93313-4110","None of the Above","","","https://mediall.rapmls.com/bakersfield/listingpics/bigphoto/2025/01/07/739dd826-7a81-40dc-b574-cf2b6b0742f8.jpg","Suburu, Donald","Lakeside","Independence","","MLS"
"5016 Misty Breaks Dr","Bakersfield","93313","202500517","P","49825114","","02/28/25","01/13/25","46","330000.00","","","1993","1055","2","2","5227","2 Car Garage","COMM","None","0.00","SNGF","CVRD","1","Welcome to 5016 Misty Breaks, a beautifully remodeled home in the sought-after Patriot Village section of the desirable Silver Creek neighborhood. This stunning 2-bedroom, 2-bathroom residence features custom flooring throughout, fresh paint, and plush new carpet in the bedrooms. The kitchen showcases brand-new quartz countertops, while both bathrooms offer updated shower enclosures. Enjoy outdoor living with a large front patio and a spacious backyard. Just a short walk to the community pool and park, and located in top-rated school districts, this home is close to shopping, dining, and all conveniences.","5016 Misty Breaks Dr, Bakersfield, CA 93313-4362","CC&Rs,HOA Fees","","","https://mediall.rapmls.com/bakersfield/listingpics/bigphoto/2025/01/13/b70b93d2-3f43-4e74-900c-e227557288d9.jpg","Suburu, Donald","Lakeside","Independence","","MLS"
"7124 Drift Creek St","Bakersfield","93313","202500600","P","49853204","","02/26/25","01/16/25","25","360000.00","","","1999","1185","2","2","6098","2 Car Garage","NONE","PPA","0.00","SNGF","CVRD","1","This fantastic home has two bedrooms and one other room without a closet. It shows pride of ownership and is ready for you to move in! Upon entering, you'll be welcomed by an open-concept layout and wood-like flooring that adds warmth and style.  The spacious backyard is perfect for gatherings, complete with a block wall for privacy and a lovely covered patio where you can relax with your morning coffee or tea.  Ideal for first-time homebuyers or those who are ready to downsize, this home features two comfortable bedrooms, one other room, two bathrooms, and the convenience of solar panels to help reduce monthly energy costs.  This Silver Creek home has no HOA.  Don't miss the chance to see this lovely home.  Call your favorite Realtor today!","7124 Drift Creek St, Bakersfield, CA 93313-4946","None of the Above","","","https://mediall.rapmls.com/bakersfield/listingpics/bigphoto/2025/01/15/799d1e80-f35a-4c59-80f5-7cd29528d8ef.jpg","Suburu, Donald","Lakeside","Independence","","MLS"
"7808 Walnut Grove Ct","Bakersfield","93313","202500712","S","49803325","02/25/25","02/12/25","01/17/25","22","379000.00","370,000","194.23","1988","1905","4","2.50","6534","2 Car Garage","NONE","None","0.00","SNGF","UNCV","2","Big family??? PRICED REDUCTION, 1905 square feet.  4 beds, 2.5 baths. move in ready, great location, close to big Shopping Center, restaurants, also to a coming soon Target. Award wining schools, etc. etc.  At this price it will be gone soon.","7808 Walnut Grove Ct, Bakersfield, CA 93313","None of the Above","","","https://mediall.rapmls.com/bakersfield/listingpics/bigphoto/2025/01/17/49ef672c-88ff-48bb-8ae8-df789128463c.jpg","Suburu, Donald","Lakeside","Independence","","MLS"
"7908 Coulter Pine Ct","Bakersfield","93313","202500734","C","49803301","","","01/16/25","63","405000.00","","","1989","1703","4","2.50","7405","2 Car Garage","NONE","Owned","0.00","SNGF","","2","Charming Two-Story Home in Silver Creek! This lovely home features 4 comfortable bedrooms and 2.5 bathrooms, offering plenty of space for everyone. The kitchen has been thoughtfully updated with granite countertops and stainless steel appliances, complemented by modern lighting and a newer tankless water heater and newer Centralized A/C & heating system that was just installed less than 3 years ago. The bathrooms have been refreshed, with the primary suite boasting a soaking tub and walk-in closet for added convenience. An open layout provides room to relax, with two separate living areas to enjoy. Outside, the yard includes block wall fencing, RV parking and space for future possibilities. Schedule your visit today!","7908 Coulter Pine Ct, Bakersfield, CA 93313-4134","Subject To:","","Loan To Be Assumed","https://mediall.rapmls.com/bakersfield/listingpics/bigphoto/2025/01/17/40371099-70ec-4a69-a8d2-292dbf5400e6.jpg","Suburu, Donald","Lakeside","Independence","","MLS"
"7616 Hidden Bridge Dr","Bakersfield","93313","202500800","S","49824419","03/04/25","02/07/25","01/20/25","18","350000.00","330,000","241.40","1993","1367","3","2","5662","2 Car Garage","NONE","Owned","0.00","SNGF","CVRD","1","Welcome to 7616 Hidden Bridge Dr., a charming family-oriented home in a highly sought-after neighborhood. Built in 1993, this 1,367 sq. ft. single-story property offers 3bd, 2ba, and a thoughtful layout designed for modern living.    The home features a welcoming great room, perfect for family gatherings, and a fully-equipped kitchen with ample storage and counter space. The fenced backyard and patio provide a private retreat for outdoor activities.    Located close to top-rated schools and parks, this home is situated in a safe and friendly neighborhood with a strong sense of community an ideal place to raise a family.  Lets make 7616 Hidden Bridge Dr. your new home!","7616 Hidden Bridge Dr, Bakersfield, CA 93313-4385","HOA Fees,Subject To:","","Paid Off In Escrow","https://mediall.rapmls.com/bakersfield/listingpics/bigphoto/2025/01/20/cdd61e49-0f05-41db-9e56-307522cf40dd.jpg","Suburu, Donald","Lakeside","Independence","","MLS"
"6201 Quaking Aspen St","Bakersfield","93313","202500807","S","49810115","02/26/25","01/27/25","01/20/25","7","369900.00","369,900","230.32","1990","1606","3","2","6534","2 Car Garage","NONE","PPA","0.00","SNGF","","1","Nice 3 bedroom 2 bath home in Silver Creek Neighborhood. You'll love that the home is tucked way back in the neighborhood. No through traffic on your street. Perfect for the kids. This home is situated nicely with no rear neighbors and no neighbors to the west. Perfect home for someone wanting as much privacy as possible in a neighborhood home. The home features a well laid out floor plan and good sized bedrooms. Interior and exterior paint are only 1 year old. Carpet was installed 1 year ago as well. Home shows well and is ready for someone to call it home.","6201 Quaking Aspen St, Bakersfield, CA 93313-4181","None of the Above","","","https://mediall.rapmls.com/bakersfield/listingpics/bigphoto/2025/01/20/04b45f74-faa0-4dd2-9fb3-16b18f7bb136.jpg","Suburu, Donald","Lakeside","Independence","","MLS"
"7604 Indian Gulch St","Bakersfield","93313","202500941","P","49820405","","03/01/25","01/23/25","29","449000.00","","","1994","2137","4","3","7840","2 Car Garage","INGR","Leased","0.00","SNGF","CVRD","2","Located in the desirable Silver Creek neighborhood, this 4-bed, 3-bath property offers over 2,100 sq ft of spacious living on a generous lot with solar and a sparkling pool. Step into elegance with LVP flooring, soaring vaulted ceilings, and formal living and dining areas perfect for entertaining. The great room is a welcoming retreat with a cozy fireplace, seamlessly flowing into a chef's kitchen that includes granite tile countertops, stainless steel appliances, custom cabinets, a walk-in pantry, and a large island for prepping meals or gathering with loved ones. Upstairs, the bedrooms provide ample space, while the primary suite impresses with plush carpet, a walk-in closet, dual vanities, a soaking tub, and a separate shower. Enjoy morning coffee or sunset views from the private balcony. The backyard is an oasis with lush landscaping, a newly replastered pool, upgraded equipment, and a large patio for outdoor entertaining. This home is ready to impress. Call today to see!","7604 Indian Gulch St, Bakersfield, CA 93313-4358","None of the Above","","","https://mediall.rapmls.com/bakersfield/listingpics/bigphoto/2025/01/23/790def19-e3fe-4fd0-8109-dd4ea1976a99.jpg","Suburu, Donald","Lakeside","Independence","","MLS"
"6600 Hanford Dr","Bakersfield","93313","202500952","C","49870304","","","01/23/25","56","404950.00","","","2005","2061","4","3","4791","2 Car Garage","NONE","None","0.00","SNGF","CVRD","2","This beautiful two-story home in Southwest Bakersfield sits on a corner lot and is in a great location near good schools, parks, and shopping centers. The open kitchen overlooks the breakfast area and family room, creating a welcoming space to gather. There's also a formal living room for extra entertaining space. The second floor features indoor utilities for easy access, while the tile roof and central heating and air conditioning provide comfort and durability. Outside, the covered patio in the backyard is perfect for relaxing or enjoying time with family and friends. Don't miss out on this wonderful homeschedule your tour today!","6600 Hanford Dr, Bakersfield, CA 93313-5908","None of the Above","","","https://mediall.rapmls.com/bakersfield/listingpics/bigphoto/2025/01/23/6b3a54be-3506-471e-bd1a-e331213ad953.jpg","Suburu, Donald","Lakeside","Independence","","MLS"
"4911 Otters Meadow Dr","Bakersfield","93313","202501164","S","49832109","03/18/25","03/17/25","01/28/25","48","320000.00","315,000","298.58","1994","1055","2","2","4356","2 Car Garage","COMM","None","9000.00","COND","UNCV","1","Beautiful home in the Southwest neighborhood of Silver Creek! This home features 2 bedrooms and 2 baths with new LVP flooring and carpet. Interior has new two tone paint as well. Home also features a 2 car garage, nice size back yard, with access to the community pool in the summer.","4911 Otters Meadow Dr, Bakersfield, CA 93313-4500","CC&Rs,HOA Fees","","","https://mediall.rapmls.com/bakersfield/listingpics/bigphoto/2025/01/29/8238c6e2-367e-499c-9203-459c81764603.jpg","Suburu, Donald","Tevis","Independence","","MLS"
"7102 Rogue River Dr","Bakersfield","93313","202501261","P","49832301","","02/11/25","01/30/25","12","345000.00","","","1995","1202","2","2","5662","2 Car Garage","COMM","None","0.00","SNGF","","1","Exceptional Heritage Series home in Silver Creek. This home has received extensive renovation throughout. With updated lighting, new ceiling fans and flooring throughout the home. The kitchen cabinets, modern plumbing fixtures, new flooring and beautiful quartz counters give this home the modern look. Some of the renovations recently completed include NEW tile ROOF, windows, HVAC system, UPDATED garage door, garage door motor, updated insulation, both bathrooms completely done, kitchen and updated plumbing and electrical throughout the home. The back yard has enough room to entertain and the community pool is adjacent to the home.","7102 Rogue River Dr, Bakersfield, CA 93313-4531","HOA Fees","","","https://mediall.rapmls.com/bakersfield/listingpics/bigphoto/2025/01/31/7bc1a310-5819-4482-a9d0-8babc65eeca7.jpg","Suburu, Donald","Lakeside","Independence","","MLS"
"5000 Shadow Lake Dr","Bakersfield","93313","202501321","P","49824211","","03/04/25","02/01/25","31","389999.00","","","1993","1981","4","3","5662","2 Car Garage","COMM","None","0.00","SNGF","","2","Fall into this Patriot Village Gem! Original owner maintained this charming 2 story corner lot home located in this desirable quiet neighborhood in Silver Creek. This lovely home offers 4 bedrooms + 3 Baths. The Master Suite has a large soaking tub, separate shower and a large walk-in closet. Formal dining and living room for those holiday gatherings. The kitchen has a nook that opens up to the family room with a cozy fireplace and high vaulted ceilings for an open air feel. Two separate sliding glass doors that lead out to the large quiet backyard with established trees. Great for those outdoor BBQ's making this home an owner's delight. An indoor utility room and a 2 car garage with plenty of room for storage. This Mater Planned Community offers a large gated pool and playground area for the children to enjoy. Great schools and walking distance to the park and shopping. Don't miss out on this rare opportunity to make this exceptional property your own!","5000 Shadow Lake Dr, Bakersfield, CA 93313-4366","CC&Rs,HOA Fees","","","https://mediall.rapmls.com/bakersfield/listingpics/bigphoto/2025/02/01/ab21fad7-31ac-451e-bd17-abb3a84d00be.jpg","Suburu, Donald","Lakeside","Independence","","MLS"
"8004 Fallen Pine Way","Bakersfield","93313","202501903","A","49810108","","","02/15/25","33","394900.00","","","1992","1703","3","3","6098","2 Car Garage","NONE","None","0.00","SNGF","CVRD","2","Welcome to 8004 Fallen Pine Way in the Silver Creek Community. This Beautiful Home features 2 Stories of Great Space for You and Your Family. The Lower Level consists of a 1/2 bath and a Nice Kitchen open to One of the Living areas featuring a Fireplace for those Cozy Nights, but wait there is More... Another Living Area that could be used as a Dining and Family Room. Upstairs You have 2 full Bathrooms and 3 Bedrooms along with a Spacious Loft to use as You choose. The Front of House has Nice Landscaping and Great Curb Appeal, head to the Backyard and You will find a Space Great for Entertaining including a Covered Patio Perfect for those Summer BBQ'S. This Home is Ready for a New Family and New Memories... Call Today to Schedule Your Appointment.","8004 Fallen Pine Way, Bakersfield, CA 93313-4171","None of the Above","","","https://mediall.rapmls.com/bakersfield/listingpics/bigphoto/2025/02/15/e0d45846-f828-4553-8808-f899a9cd159c.jpg","Suburu, Donald","Lakeside","Independence","","MLS"
"5909 Arc Dome Ave","Bakersfield","93313","202501934","C","49862109","","","02/17/25","15","359000.00","","","1999","1285","4","2","6098","2 Car Garage","NONE","None","0.00","SNGF","CVRD","1","Here is a great Silver Creek 4 bed 2 bath home!  It starts with nice curb appeal.  The neat from yard invites you to the front door.  The front door opens to the living room which flows into the kitchen. The 4 bedrooms and 2 baths are ready for you to make them YOURS!  The backyard has room for whatever you want!  This neighborhood is perfectly located near one of Bakersfield biggest shopping centers with lots of specialty stores as well as the large ones.  You'll also find restaurants with lots of variety.  Silver Creek has been one of Bakersfield's most popular neighborhoods for a reason.  Come take a look!","5909 Arc Dome Ave, Bakersfield, CA 93313-4966","None of the Above","","","https://mediall.rapmls.com/bakersfield/listingpics/bigphoto/2025/02/17/3e3f0a40-cc18-4443-adf5-8dfaf6ac4ade.jpg","Suburu, Donald","Lakeside","Independence","","MLS"
"6015 Box Meadow Ave","Bakersfield","93313","202501927","P","49864304","","02/20/25","02/17/25","3","275000.00","","","2001","1161","3","2","6098","2 Car Garage","INGR","None","0.00","SNGF","UNCV","1","Fixer upper.  Cash or Hard Money only.  No flooring, baseboards, door frames, damaged windows, pool needs new plaster, kitchen cabinets need refinishing, needs new appliances.","6015 Box Meadow Ave, Bakersfield, CA 93313-4981","CC&Rs","","","https://mediall.rapmls.com/bakersfield/listingpics/bigphoto/2025/02/17/caf87ae8-8673-4456-90c1-892d621cde77.jpg","Suburu, Donald","Lakeside","Independence","","MLS"
"6911 Rush Point Ct","Bakersfield","93313","202502737","A","49837121","","","03/08/25","12","399900.00","","","1997","1688","4","2","7840","2 Car Garage","NONE","Owned","0.00","SNGF","","1","Beautiful property in the well-established Silvercreek neighborhood, this property sits on a corner lot, property features 4 spacious bedrooms and 2 bathrooms, spacious living room and dining area, there is an additional room that could be used as a 5th bedroom or game room, tile roof and PAID SOLAR!  show it and sell it!!!","6911 Rush Point Ct, Bakersfield, CA 93313-4573","None of the Above","","Paid For","https://mediall.rapmls.com/bakersfield/listingpics/bigphoto/2025/03/08/36843b60-9139-4a94-818e-364ca0ac8f95.jpg","Suburu, Donald","Lakeside","Independence","","MLS"
"7205 Sierra Path Ave","Bakersfield","93313","202402809","S","49834502","06/07/24","05/22/24","03/22/24","60","419900.00","390,000","223.75","1996","1743","3","2","6098","2 Car Garage","NONE","None","0.00","SNGF","CVRD","1","Discover the charm of 7205 Sierra Path Avenue, nestled in the sought-after Silver Creek neighborhood, where serenity meets convenience. This splendid home, boasting over 1,700 square feet of living space, offers an idyllic lifestyle just a stone's throw from the tranquil Silver Creek Park. Step inside to find an array of modern upgrades including brand-new hard stone counters that add a touch of elegance, alongside fresh new carpeting underfoot. Both the interior and exterior have been recently painted, ensuring a fresh and inviting ambiance throughout. The residence features three spacious bedrooms and two bathrooms, providing ample space for family and guests alike. An indoor utility room adds to the practicality of this home. Situated on a peaceful street, this property promises a serene living environment within a vibrant community. Don't miss the chance to make 7205 Sierra Path Avenue your new address, where comfort and convenience beautifully intersect.","7205 Sierra Path Ave, Bakersfield, CA 93313-4545","None of the Above","","","https://mediall.rapmls.com/bakersfield/listingpics/bigphoto/2024/03/22/88590eae-5458-4530-b276-a9984a6a0963.jpg","Lakeside","Lakeside","Independence","","MLS"
"5601 Silver Crossing St","Bakersfield","93313","202402819","S","49805207","05/17/24","05/06/24","03/23/24","44","369000.00","363,200","245.07","1989","1482","3","2","5662","2 Car Garage","NONE","None","0.00","SNGF","","1","Welcome to the desirable community of Silver Creek. This beautiful FRESHLY painted move in ready  3br + OFFICE home is located on the corner of a quiet cul-de-sac with its low maintenance yard, you'll have more time to spend doing the things that bring you joy. Walking distance to the outstanding neighborhood parks and elementary school. Major shopping centers are also close by making life completely easy for your daily trips . Don't miss out on this beauty & call your favorite Realtor today before its to late.","5601 Silver Crossing St, Bakersfield, CA 93313-4132","None of the Above","","","https://mediall.rapmls.com/bakersfield/listingpics/bigphoto/2024/03/23/73132dff-32b2-46f6-8338-8b638a0cae30.jpg","Suburu, Donald","Lakeside","Independence","","MLS"
"7913 Tule Creek Ct","Bakersfield","93313","202310527","S","49806214","12/01/23","10/25/23","10/09/23","16","389950.00","378,500","218.79","1990","1730","3","2.50","5227","2 Car Garage","NONE","None","0.00","SNGF","SLAB","2","Welcome to the desirable community of Silver Creek. This beautifully updated 3br 2.5 bath home is located on the end of a quiet culdesac within walking distance to neighborhood parks and elementary school. Major shopping center is also close by. Awesome Luxury vinyl plank flooring thru out the entire home. Stunning quartz kitchen with copper sink, painted cabinets,  stainless range/oven and microwave. Breakfast bar overlooks the family room with quartz fireplace and blt in shelving. Vaulted ceilings in formal living and dining rooms. Large primary suite with dual vanities, quartz counters, updated shower and large walk in closet. Indoor laundry with storage and 2 car garage.","7913 Tule Creek Ct, Bakersfield, CA 93313-4112","None of the Above","","","https://mediall.rapmls.com/bakersfield/listingpics/bigphoto/2023/10/09/a49e952e-94d2-4a11-8b2b-65524aec2223.jpg","Suburu, Donald","Lakeside","Independence","","MLS"
"6305 Ambergrove St","Bakersfield","93313","202310940","S","49809702","02/09/24","01/10/24","10/20/23","82","375000.00","370,000","195.77","1990","1890","3","2","6098","2 Car Garage","NONE","None","7400.00","SNGF","CVRD","1","This home is in the desirable southwest community of Silver Creek and is within close proximity to parks, restaurants, and shopping. Featuring 2 separate living areas with an open concept kitchen that has beautifully updated granite countertops and extended island. Bathroom counters have also been updated with granite. Come see your new home.","6305 Ambergrove St, Bakersfield, CA 93313-4166","CC&Rs","","","https://mediall.rapmls.com/bakersfield/listingpics/bigphoto/2023/10/20/5f52645d-b386-4df2-b107-027a3ecd0fd5.jpg","Suburu, Donald","Lakeside","Independence","","MLS"
"6622 Flatrock Dr","Bakersfield","93313","202311025","S","49872103","12/14/23","11/13/23","10/27/23","17","370000.00","365,000","251.72","2005","1450","3","2","4356","2 Car Garage","NONE","None","3000.00","SNGF","CVRD","1","Be prepared to fall in love the second you walk in! This gorgeous 3 bedroom, 2 bath home has been upgraded and updated thru out with one-of-a-kind details. The generous 1,450 sq. ft. plan perfectly accommodates a great room, formal living room, perfect-sized kitchen complete with breakfast bar, and indoor utility! From the gorgeous wood-look luxury vinyl flooring to the upgraded lighting thru out, this home is the stuff dreams are made of! Additional enhancements include two-tone paint, custom barn doors, ceiling fans thru out, updated plumbing fixtures and cabinet hardware, the list goes on! The intimate backyard is perfect for get-togethers and includes a covered patio and plenty of grass area for activities! Perfect home in the perfect neighborhood!","6622 Flatrock Dr, Bakersfield, CA 93313-5907","None of the Above","","","https://mediall.rapmls.com/bakersfield/listingpics/bigphoto/2023/10/24/c3d2ba5d-4dcf-4b09-9c43-e1be793588e8.jpg","Suburu, Donald","Lakeside","Independence","","MLS"
"6813 Cabin Creek Ct","Bakersfield","93313","202311004","S","49865209","01/09/24","01/01/24","10/30/23","63","419999.00","385,000","226.07","2001","1703","4","2","6534","2 Car Garage","NONE","None","0.00","SNGF","CVRD","1","Beautiful Southwest location, pride of ownership. Nicely landscaped, with great curb appeal.  4 Bedrooms, 2 Bathrooms, Great Room with Dining Room, with Spacious Kitchen.  Indoor Laundry Room and Large Storage Shed in the Backyard with a Large Covered Patio.  Set up appointment soon, this one will not last long.","6813 Cabin Creek Ct, Bakersfield, CA 93313-4984","CC&Rs,HOA Fees","","","https://mediall.rapmls.com/bakersfield/listingpics/bigphoto/2023/10/30/6d0722d5-029c-4cf0-b553-141e48701664.jpg","Suburu, Donald","Lakeside","Independence","","MLS"
"6820 Firebaugh St","Bakersfield","93313","202405039","S","49866201","06/26/24","05/30/24","05/22/24","8","385000.00","385,000","261.02","2001","1475","3","2","6098","2 Car Garage","NONE","None","0.00","SNGF","UNCV","1","This stunning turn key home is nestled in Silver Creek near family parks and desirable schools! This meticulously upgraded property boasts tile roofing that ensures durability and longevity. Step inside onto luxurious wood tile flooring complemented by new paint throughout the entirety of the home and illuminated by the upgraded bright recessed lighting. The kitchen provides sleek granite countertops and new backsplash, with freshly painted cabinets and fixtures along with a new stove. Enjoy enhanced privacy and energy efficiency with stylish shutters on tinted windows throughout. Retreat to plush newer carpeting in the sizeable bedrooms. Step outside to the backyard through a brand new sliding glass door and enter into the fully landscaped luscious backyard equipped with an automatic sprinkler system, newer fencing, and ready for all your outdoor family functions! Never run out of hot water with the 75-gallon water heater. Don't miss out on the chance to make this home yours!","6820 Firebaugh St, Bakersfield, CA 93313-4988","None of the Above","","","https://mediall.rapmls.com/bakersfield/listingpics/bigphoto/2024/05/22/6edd311f-3ccb-4209-aad6-d4146be20c67.jpg","Suburu, Donald","Lakeside","Independence","","MLS"
"6918 Water Wheel Driive Dr","Bakersfield","93313","202406143","S","49832136","08/06/24","06/30/24","06/19/24","11","345000.00","350,000","259.64","2003","1348","3","2","4356","2 Car Garage","COMM","Owned","600.00","SNGF","","1","This home features 3 bedrooms, 2 bathrooms in beautiful Silver Creek area close to Gosford shopping Village. Property is process of being painted new stove will be installed before close of escrow. Great home set up your showing today. Solar Payment $114","6918 Water Wheel Driive Dr, Bakersfield, CA 93313","HOA Fees,None of the Above","","Loan To Be Assumed","https://mediall.rapmls.com/bakersfield/listingpics/bigphoto/2024/06/21/86d35066-1f4c-4d7e-b352-0188012b4b00.jpg","Suburu, Donald","Lakeside","Independence","","MLS"
"7311 Sierra Rim Dr","Bakersfield","93313","202406426","S","49831612","07/31/24","07/02/24","06/29/24","3","285000.00","326,000","236.23","2001","1380","4","2","5662","2 Car Garage","NONE","None","0.00","SNGF","","1","Priced below market value for quick sale. Bring your hammer and save. Silver Creek split wing  1380sf 4 bed 2 bath home with tile roof, central a/c, gas fireplace, archways, white appliances, 2 car garage and much more. Walking distance from Silver Creek Park and Subaru Elementary school.","7311 Sierra Rim Dr, Bakersfield, CA 93313-4506","None of the Above","","","https://mediall.rapmls.com/bakersfield/listingpics/bigphoto/2024/06/29/646ffd66-8c45-423b-9ac6-f1a2a7bf2f18.jpg","Suburu, Donald","Lakeside","Independence","","MLS"
"5008 Mill Wheel Dr","Bakersfield","93313","202406622","S","49832143","09/05/24","07/29/24","07/05/24","24","369900.00","369,000","273.74","2003","1348","3","2","5227","2 Car Garage","COMM","None","0.00","SNGF","","1","Step inside to discover an inviting living space adorned with tasteful decor and abundant natural light. Recently upgraded light fixtures illuminate the spacious interior, highlighting the elegant granite kitchen counters and stainless-steel appliances that boast WiFi compatibility for added convenience.The spacious backyard of this home offers an ideal setting for gatherings and outdoor entertainment. Enhanced by a charming patio, it provides a perfect space for hosting friends and family, enjoying barbecues, or simply unwinding in a peaceful outdoor environment. Outside, the freshly painted exterior(painted in 2023) showcases a contemporary aesthetic, ensuring curb appeal that lasts. Enjoy peace of mind with an HOA that covers patrol security, front yard maintenance, and regular tree trimming. Plus, indulge in the community pool.Schedule a tour today and envision the possibilities of making this house your home sweet home!","5008 Mill Wheel Dr, Bakersfield, CA 93313-4520","CC&Rs,HOA Fees","","","https://mediall.rapmls.com/bakersfield/listingpics/bigphoto/2024/07/05/80ace936-20c3-422b-8c47-bb463a49c3af.jpg","Suburu, Donald","Lakeside","Independence","","MLS"
